ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
hawr1243a-textA-1,"řowê ce řowa yuwe mê yoyç mê xizmetû şê ʕeladînî, her a şê ʕeladîne.",řo-ê	ce	řo-a	yuwe	m-ê	yo=îç	m-ê	xizmet-û	şê	ʕeladîn-î	her	a	şê	ʕeladîn=e	,day.M-INDF	from	day.M-PL.OBL	one.F	IND-come.PRS.3SG:S	one.M=ADD	IND-come.PRS.3SG:S	service.M-EZ.GEN	sheikh.M	PN-M.SG.OBL	EMPH	DEM.DIST	sheikh.M	PN=DEM	,"Once,\footnote{Lit. One day of days} a woman and a man\footnote{Lit. One (f.) came, one (m.) came.} came to the service of Sheikh Aladin, Sheikh Aladin himself.",textA,1,hawr1243,hawr1243a,WORD_ALIGNED,"{""INDF"": ""indefinite"", ""PL"": ""plural"", ""OBL"": ""oblique"", ""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular"", ""ADD"": ""additive"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""PN"": ""proper noun"", ""EMPH"": ""emphatic"", ""DEM"": ""demonstrative"", ""DIST"": ""distal""}"
hawr1243a-textA-2,wişkesaɫî bo pêse îsey.,wişkesaɫî	b-o	pêse	îse-î	,drought.M	be.PRS.IND-3SG:S	like	now-M.SG.OBL	,"[This region] was in drought, like [it is] now.",textA,2,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""OBL"": ""oblique""}"
hawr1243a-textA-3,heywandar bo.,heywandar\textsc{.m}	b-o	,herdsman	be.PRS.IND-3SG:S	,He was a herdsman.,textA,3,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular""}"
hawr1243a-textA-4,mênê qeredax.,m-ê-nê	qeredax	,IND-come.PRS-3PL:S	PN	,They (the man and his wife) came to Qaradagh.,textA,4,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""PL"": ""plural"", ""PN"": ""proper noun""}"
hawr1243a-textA-5,eça xizone eşkewtêwe. heywandare heywanekeyş bero memliketê çoɫû.,e=ça	xiz-one	eşkewt(e)-êwe	heywandar-e	heywan-ekey=ş	ber-o	memliket-ê	çoɫ=û	,in=there	creep.PRS.IND-3SG:S	cave.F-INDF	herdsman-DEF	animal.M-DEF.M.SG.OBL=3SG:O	take.PRS.IND-3SG:A	country.M-INDF	deserted.M=and,"There, they crept into a cave. The herdsman took his animals to a deserted region.",textA,5,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""INDF"": ""indefinite"", ""DEF"": ""definite"", ""OBL"": ""oblique""}"
hawr1243a-textA-6,a wextîyekey ça nîşorew ta hamin bo.,a	wext-î-ekey	ça	nîş-o=re=o	ta	hamin	b-o	,DEM.DIST	time.M-SG.OBL-DEF.M.SG.OBL	there	sit.PRS.IND-3SG:S=POVB=COMPL	until	summer.M	be.PRS.IND-3SG:S	,"Then, they settled there until the summer.",textA,6,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""DEF"": ""definite"", ""PRS"": ""present"", ""IND"": ""indicative"", ""POVB"": ""post-verb"", ""COMPL"": ""completive""}"
hawr1243a-textA-7,ginmê dewrû haminî weharî temamîyo.,gin-mê	dewr-û	hamin-î	wehar-î	temamîy(e)-o	,fall.PRS.IND-1PL:S	around-EZ.GEN	summer.M-SG.OBL	spring.M-SG.OBL	finish.PRS-3SG:S	,"It was\footnote{Lit. We fell.} near the end of summer, [or] spring.",textA,7,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""PL"": ""plural"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""SG"": ""singular"", ""OBL"": ""oblique""}"
hawr1243a-textA-8,mê şewê ce şewa jenêweş bo. wêşû kinaçê ezemêç laşo bo.,m-ê	şew(e)-ê	ce	şew(e)-a	jen(î)-êwe=ş	b-o	wê=ş=û	kinaçê	ezem-(e)-ê=ç	la=ş=o	b-o	,IND-come.PRS.3SG:S	night.F-INDF	from	night.F-PL.OBL	woman.F-INDF=3SG:NC	be.PRS.IND-3SG:S	REFLX=3SG:PSR=and	girl.F	adolescent-F-INDF=ADD	with=3SG:R=POST	be.PRS.IND-3SG:S	,There came a night when -- he had a wife. She and an adolescent daughter [of his] were with him.,textA,8,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular"", ""INDF"": ""indefinite"", ""PL"": ""plural"", ""OBL"": ""oblique"", ""NC"": ""non-canonical subject"", ""REFLX"": ""reflexive"", ""PSR"": ""possessor"", ""ADD"": ""additive"", ""POST"": ""postposition""}"
hawr1243a-textA-9,kuřêş ba. kuřekêş germîyanne nimênêş çene.,kuř-ê=ş	b-a	kuř-ekê=ş	germîyan=ne	nim(e)-ê-nê=ş	çene	,son.M-PL.DIR=3SG:NC	be.PRS.IND-3PL:S	son.M-DEF.PL.DIR=3SG:PSR	PN=POST	NEG.IND-come.PRS-3PL:S=3SG:R	with	,He had sons. His sons did not accompany him [; they stayed in] Garmiyan.,textA,9,hawr1243,hawr1243a,WORD_ALIGNED,"{""PL"": ""plural"", ""DIR"": ""direct"", ""SG"": ""singular"", ""NC"": ""non-canonical subject"", ""PRS"": ""present"", ""IND"": ""indicative"", ""DEF"": ""definite"", ""PSR"": ""possessor"", ""PN"": ""proper noun"", ""POST"": ""postposition"", ""NEG"": ""negative""}"
hawr1243a-textA-10,eça nîşore. şewê waranê waro.,e=ça	nîş-o=re	şew(e)-ê	waran-ê	war-o	,in=there	sit.PRS.IND-3SG:S=POVB	night.F-INDF	rain-INDF	rain.PRS.IND-3SG:S	,"They settled there (i.e. in that region). One night, it was raining.",textA,10,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""POVB"": ""post-verb"", ""INDF"": ""indefinite""}"
