ID,Text_Number,Name,Description,Contributor,Citation,Examples_Count,Media_Reference
textA,1,zaroɫe û bizê,"A nomad family was caught up in a flood. They had to leave behind one of the twin sons who had just been born into the family. They put the one which looked weaker into a tree hollow. The family returned to the same region the following year and, to their astonishment, found that the child was alive, thanks to a goat which had fed him every day ever since.",Saleh,,61,eaftextA	wavtextA
textB,2,zaroɫe û qiřolû darî,"The story has the same plot as Text A, with the difference that a burr appeared on the tree instead of a goat, from which the abandoned baby boy fed.",Mohammad,,56,eaftextB	wavtextB
textC,3,herbene,"The recording was collected at the village of Bennen in August 2022. Bennen is the summer habitat of people living in Hewraman Tekht. The narrator, Amin, is about 75 years old. He is a skilful storyteller. His family members and a few neighbours were present during the recording. The narrator is a rich source of knowledge about the oral history of Hewraman, particularly regarding the biographies of saints and religious leaders in Hewraman from the distant past.",Amin,,93,eaftextC	wavtextC
textD,4,peɫê merekuř,"This recording was collected in Serûpîrî in August 2022. The narrator, Moham- mad, is about 85 years old. His wife was present during the recording.",Mohammad,,53,eaftextD	wavtextD
textE,5,derde gulî,"This recording was collected in August 2022 by the researcher (M.M.) at Hewra- man Tekht. The narrator, Saleh, is about 80 years old. His wife was present during the recording.",Saleh,,73,eaftextE	wavtextE
textF,6,Şêx ʕumer û Cafir san,"This recording was collected in August 2022 by the researcher (M.M.) at the village of Serûpîrî, located about one kilometer north of Hewraman Tekht. The narrator, Mohammad, is about 85 years old. His wife was present during the recording.",Mohammad,,109,eaftextF	wavtextF
textG,7,duwê padşε,"This recording was collected in August 2022 by the researcher (M.M.) at Hewra- man Tekht. The narrator, Saleh, is about 80 years old. His wife was present during the recording of this narrative.",Saleh,,56,eaftextG	wavtextG
textH,8,jîwayû Pîr Şelîyarî,This tale is an extended biography of Pir Shaliyar’s life. The recording was col- lected at the village of Bennen in August 2022. Bennen is the summer habitat of people living in Hewraman Tekht. The narrator is called Amin. He is about 75 years old and is a skilful storyteller. His family members and a few neighbours were present during the recording.,Amin,,268,eaftextH	wavtextH
textI,9,zemawinew Pîr Şalîyarî,"This tale is a short version of Pir Shaliyar’s life, focusing in particular on his mar- riage to the princess. The recording of this tale was kindly given to the researcher (M.M.) by the narrator, Amin.",Amin,,132,eaftextI	wavtextI
textJ,10,babaw Pîr Şalîyarî,"The recording was collected at the village of Bennen in August 2022. The narrator, Amin, is about 75 years old. His family members and a few neighbours were present during the recording.",Amin,,212,eaftextJ	wavtextJ
textK,11,kuřû şuwaney,"This recording was collected at Hewraman Tekht by the researcher (M.M.) in August 2022. The narrator, Moʿmen, is a skilful storyteller. His son was present during the recording of the narrative.",Moʿmen,,107,eaftextK	wavtextK
textL,12,jîwayû Heyasî,"This recording was collected at Hewraman Tekht by the researcher (M.M.) in August 2022. The narrator, Moʿmen, is a skilful storyteller. His son was present during the recording of the narrative.",Moʿmen,,119,eaftextL	wavtextL
textM,13,řisûmatû ewsayma,"This recording was collected in Hewraman Tekht by the researcher (M.M.) in August 2022. The narrator, Saleh, discusses traditions of the past, including mar- riage customs, social structure, and the relationship between the chieftains and the people.",Saleh,,72,eaftextM	wavtextM
textN,14,jîwayû ewsayma,This recording was collected in Hewraman Tekht by the researcher (M.M.) in August 2022. The narrator’s grandson was present during the recording.,Hanifa,,85,eaftextN	wavtextN
textO,15,jîwayû min,"This recording was collected partly in August 2022 and partly in July 2023 by the researcher (M.M.) at Hewraman Tekht. The narrator, Saleh, is about 80 years old. His wife and daughter were present during the recording of the narrative.",Saleh,,63,eaftextO	wavtextO
